Date,Close,High,Low,Open,Volume
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
2022-01-01,47686.8125,47827.3125,46288.484375,46311.74609375,24582667004
2022-01-02,47345.21875,47881.40625,46856.9375,47680.92578125,27951569547
2022-01-03,46458.1171875,47510.7265625,45835.96484375,47343.54296875,33071628362
2022-01-04,45897.57421875,47406.546875,45752.46484375,46458.8515625,42494677905
2022-01-05,43569.00390625,46929.046875,42798.22265625,45899.359375,36851084859
2022-01-06,43160.9296875,43748.71875,42645.5390625,43565.51171875,30208048289
2022-01-07,41557.90234375,43153.5703125,41077.4453125,43153.5703125,84196607520
2022-01-08,41733.94140625,42228.94140625,40672.27734375,41561.46484375,28066355845
2022-01-09,41911.6015625,42663.94921875,41338.16015625,41734.7265625,21294384372
2022-01-10,41821.26171875,42199.484375,39796.5703125,41910.23046875,32104232331
2022-01-11,42735.85546875,43001.15625,41407.75390625,41819.5078125,26327648900
2022-01-12,43949.1015625,44135.3671875,42528.98828125,42742.1796875,33499938689
2022-01-13,42591.5703125,44278.421875,42447.04296875,43946.7421875,47691135082
2022-01-14,43099.69921875,43346.6875,41982.6171875,42598.87109375,23577403399
2022-01-15,43177.3984375,43724.671875,42669.03515625,43101.8984375,18371348298
2022-01-16,43113.87890625,43436.80859375,42691.0234375,43172.0390625,17902097845
2022-01-17,42250.55078125,43179.390625,41680.3203125,43118.12109375,21690904261
2022-01-18,42375.6328125,42534.40234375,41392.21484375,42250.07421875,22417209227
2022-01-19,41744.328125,42478.3046875,41242.9140625,42374.0390625,23091543258
2022-01-20,40680.41796875,43413.0234375,40672.82421875,41744.02734375,20382033940
2022-01-21,36457.31640625,41060.52734375,35791.42578125,40699.60546875,43011992031
2022-01-22,35030.25,36688.8125,34349.25,36471.58984375,39714385405
2022-01-23,36276.8046875,36433.3125,34784.96875,35047.359375,26017975951
2022-01-24,36654.328125,37247.51953125,33184.05859375,36275.734375,41856658597
2022-01-25,36954.00390625,37444.5703125,35779.4296875,36654.8046875,26428189594
2022-01-26,36852.12109375,38825.41015625,36374.90625,36950.515625,31324598034
2022-01-27,37138.234375,37148.32421875,35629.28125,36841.87890625,25041426629
2022-01-28,37784.33203125,37952.87890625,36211.109375,37128.4453125,22238830523
2022-01-29,38138.1796875,38576.26171875,37406.47265625,37780.71484375,17194183075
2022-01-30,37917.6015625,38266.33984375,37437.7109375,38151.91796875,14643548444
2022-01-31,38483.125,38647.26171875,36733.57421875,37920.28125,20734730465
2022-02-01,38743.2734375,39115.1328125,38113.6640625,38481.765625,20288500328
2022-02-02,36952.984375,38834.6171875,36832.73046875,38743.71484375,19155189416
2022-02-03,37154.6015625,37154.6015625,36375.5390625,36944.8046875,18591534769
2022-02-04,41500.875,41527.78515625,37093.62890625,37149.265625,29412210792
2022-02-05,41441.1640625,41847.1640625,41038.09765625,41501.48046875,19652846215
2022-02-06,42412.43359375,42500.78515625,41244.90625,41441.12109375,16142097334
2022-02-07,43840.28515625,44401.86328125,41748.15625,42406.78125,28641855926
2022-02-08,44118.4453125,45293.8671875,42807.8359375,43854.65234375,33079398868
2022-02-09,44338.796875,44727.80078125,43232.96875,44096.703125,23245887300
2022-02-10,43565.11328125,45661.171875,43402.80859375,44347.80078125,32142048537
2022-02-11,42407.9375,43810.83203125,42114.5390625,43571.12890625,26954925781
2022-02-12,42244.46875,42992.55078125,41852.57421875,42412.30078125,18152390304
2022-02-13,42197.515625,42693.0546875,41950.94140625,42236.56640625,14741589015
2022-02-14,42586.91796875,42775.77734375,41681.95703125,42157.3984375,20827783012
2022-02-15,44575.203125,44667.21875,42491.03515625,42586.46484375,22721659051
2022-02-16,43961.859375,44578.27734375,43456.69140625,44578.27734375,19792547657
2022-02-17,40538.01171875,44132.97265625,40249.37109375,43937.0703125,26246662813
2022-02-18,40030.9765625,40929.15234375,39637.6171875,40552.1328125,23310007704
2022-02-19,40122.15625,40418.87890625,39713.05859375,40026.0234375,13736557863
2022-02-20,38431.37890625,40119.890625,38112.8125,40118.1015625,18340576452
2022-02-21,37075.28125,39394.4375,36950.4765625,38423.2109375,29280402798
2022-02-22,38286.02734375,38359.85546875,36488.93359375,37068.76953125,25493150450
2022-02-23,37296.5703125,39122.39453125,37201.81640625,38285.28125,21849073843
2022-02-24,38332.609375,38968.83984375,34459.21875,37278.56640625,46383802093
2022-02-25,39214.21875,39630.32421875,38111.34375,38333.74609375,26545599159
2022-02-26,39105.1484375,40005.34765625,38702.53515625,39213.08203125,17467554129
2022-02-27,37709.78515625,39778.94140625,37268.9765625,39098.69921875,23450127612
2022-02-28,43193.234375,43760.45703125,37518.21484375,37706.0,35690014104
2022-03-01,44354.63671875,44793.6015625,42952.5859375,43194.50390625,32479047645
2022-03-02,43924.1171875,45077.578125,43432.8515625,44357.6171875,29183112630
2022-03-03,42451.7890625,44021.578125,41914.75,43925.1953125,24967782593
2022-03-04,39137.60546875,42479.61328125,38805.84765625,42458.140625,28516271427
2022-03-05,39400.5859375,39566.3359375,38777.03515625,39148.44921875,16975917450
2022-03-06,38419.984375,39640.17578125,38211.6484375,39404.19921875,19745229902
2022-03-07,38062.0390625,39430.2265625,37260.203125,38429.3046875,28546143503
2022-03-08,38737.26953125,39304.44140625,37957.38671875,38059.90234375,25776583476
2022-03-09,41982.92578125,42465.671875,38706.09375,38742.81640625,32284121034
2022-03-10,39437.4609375,42004.7265625,38832.94140625,41974.0703125,31078064711
2022-03-11,38794.97265625,40081.6796875,38347.43359375,39439.96875,26364890465
2022-03-12,38904.01171875,39308.59765625,38772.53515625,38794.46484375,14616450657
2022-03-13,37849.6640625,39209.3515625,37728.14453125,38884.7265625,17300745310
2022-03-14,39666.75390625,39742.5,37680.734375,37846.31640625,24322159070
2022-03-15,39338.78515625,39794.62890625,38310.2109375,39664.25,23934000868
2022-03-16,41143.9296875,41465.453125,39022.34765625,39335.5703125,39616916192
2022-03-17,40951.37890625,41287.53515625,40662.87109375,41140.84375,22009601093
2022-03-18,41801.15625,42195.74609375,40302.3984375,40944.83984375,34421564942
2022-03-19,42190.65234375,42316.5546875,41602.66796875,41794.6484375,19664853187
